age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,profit
52,,73117,9, Divorced,, Unmarried, White, Female,0,0,38, United-States, <=50K
44, Private,190532,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,55, United-States, <=50K
27, Self-emp-not-inc,95423,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
36, Self-emp-inc,116133,9, Never-married, Exec-managerial, Own-child, White, Male,0,0,41, United-States, <=50K
62, Private,119684,13, Married-civ-spouse, Sales, Husband, White, Male,2829,0,28, United-States, <=50K
59, Private,178282,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,7688,0,40, United-States, >50K
20, Private,421474,10, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
20, Private,185554,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,25, United-States, <=50K
63, Private,188976,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
38, Private,153066,14, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, >50K
32, Private,273287,10, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,40, Jamaica, <=50K
70, Self-emp-inc,158437,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States, >50K
41, Private,246258,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
58,,242670,10, Married-civ-spouse,, Wife, White, Female,0,0,20, United-States, <=50K
23, Private,227070,10, Never-married, Other-service, Unmarried, White, Female,0,0,48, El-Salvador, <=50K
45, Self-emp-inc,160440,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,42, United-States, <=50K
31, Private,101352,13, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
90, Private,227796,12, Never-married, Exec-managerial, Not-in-family, White, Male,6097,0,45, United-States, >50K
25, Private,223426,11, Never-married, Sales, Not-in-family, White, Male,0,0,65, Canada, >50K
40, Private,110732,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,50, United-States, <=50K
38, Self-emp-inc,308686,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,70, United-States, >50K
55, Private,181220,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
18, Private,209792,10, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
23, Local-gov,248344,10, Never-married, Other-service, Not-in-family, Black, Male,0,0,30, United-States, <=50K
20, Private,235442,10, Never-married, Other-service, Not-in-family, White, Male,0,0,35, United-States, <=50K
60, Private,178050,9, Divorced, Other-service, Unmarried, Black, Female,0,0,38, United-States, <=50K
41, Private,143003,14, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,1887,45, China, >50K
42, Private,210525,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,20, United-States, >50K
32, Private,131568,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
50, Local-gov,68898,16, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,55, United-States, >50K
41, Self-emp-not-inc,136986,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
54, Self-emp-not-inc,32778,9, Married-civ-spouse, Sales, Wife, White, Female,0,0,30, United-States, <=50K
35, Private,306868,10, Never-married, Sales, Not-in-family, White, Male,0,0,65, United-States, <=50K
22, Private,303822,6, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
34, Private,33678,13, Married-civ-spouse, Sales, Husband, White, Male,4508,0,35, United-States, <=50K
25, Private,27678,10, Married-civ-spouse, Other-service, Wife, White, Female,0,0,60, United-States, <=50K
23, Private,174754,10, Never-married, Sales, Not-in-family, White, Female,0,0,30, United-States, <=50K
36, State-gov,210830,14, Never-married, Prof-specialty, Own-child, White, Female,0,0,30, United-States, <=50K
57, Federal-gov,239486,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,7688,0,45, United-States, >50K
24, Private,111376,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Private,143046,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
56, Private,261232,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, Private,84661,11, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
23, State-gov,279243,10, Never-married, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
75, Private,148214,9, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,25, United-States, <=50K
25, Private,187577,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
43, Private,193882,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
45, Federal-gov,88564,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,7688,0,40, United-States, >50K
22, Private,37932,12, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,35, England, <=50K
41, Local-gov,488706,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
50, Local-gov,117791,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
17, Private,347000,8, Never-married, Farming-fishing, Own-child, White, Male,0,0,12, United-States, <=50K
65, Private,115922,7, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,24, United-States, <=50K
60,,56248,9, Married-civ-spouse,, Husband, White, Male,0,1485,70, United-States, >50K
44, Private,112482,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,55, United-States, >50K
43, Self-emp-inc,34218,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
42, Private,336891,10, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
58, Private,225394,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1902,40, United-States, <=50K
22, Private,117363,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
49, Private,380922,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,80, United-States, >50K
36, Private,28996,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
40, Private,421837,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
35, Private,61343,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
31, Private,177675,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
57, Private,375502,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55, United-States, >50K
32, Self-emp-not-inc,135304,9, Married-civ-spouse, Craft-repair, Husband, White, Male,3942,0,32, United-States, <=50K
22, Private,36011,11, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,30, United-States, <=50K
34, Self-emp-not-inc,247540,9, Never-married, Farming-fishing, Not-in-family, White, Male,0,1974,30, United-States, <=50K
19,,113915,9, Never-married,, Own-child, Black, Male,0,0,10, United-States, <=50K
22, Private,349368,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
24, Private,118023,10, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
35, Private,216473,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,50, United-States, >50K
47, State-gov,142856,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
54, Private,108960,7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
64, Private,96076,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
35, Private,357619,11, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, Germany, <=50K
23, Private,85088,10, Never-married, Other-service, Own-child, White, Female,0,0,37, United-States, <=50K
21, Private,117606,10, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
37, Private,169469,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
21, Private,342575,10, Never-married, Sales, Own-child, Black, Female,0,0,30, United-States, <=50K
51, Private,90275,9, Divorced, Sales, Unmarried, White, Female,0,0,45, United-States, <=50K
56, Private,118993,9, Never-married, Adm-clerical, Other-relative, White, Female,0,0,40, United-States, <=50K
54, Local-gov,178356,5, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
37, Local-gov,244341,10, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
48, Self-emp-inc,192945,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,7688,0,40, United-States, >50K
53, Private,290882,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, <=50K
17, Private,82041,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, Canada, <=50K
57, Private,132145,3, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
23, Private,161708,10, Never-married, Other-service, Unmarried, White, Female,0,0,20, United-States, <=50K
34, Private,182218,11, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
53, Self-emp-inc,368014,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,60, United-States, >50K
47,,215620,9, Never-married,, Not-in-family, White, Male,0,0,12, United-States, <=50K
20, Private,30035,12, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
30, Private,324120,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, <=50K
34, Private,205072,9, Never-married, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
43, Private,184846,9, Widowed, Machine-op-inspct, Unmarried, White, Female,0,0,60, United-States, <=50K
46, Private,165138,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
39, Private,129764,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
55, Private,237428,10, Divorced, Exec-managerial, Not-in-family, White, Male,0,1504,40, United-States, <=50K
41, Private,34037,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, Local-gov,407672,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Private,180505,9, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, <=50K
38, Private,423616,11, Married-civ-spouse, Tech-support, Wife, White, Female,0,0,36, United-States, >50K
30, Private,35724,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,45, United-States, >50K
34, Private,410615,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
24, Private,223367,7, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
46, Private,182128,14, Divorced, Prof-specialty, Unmarried, White, Female,6497,0,50, United-States, <=50K
21, Private,206891,4, Never-married, Farming-fishing, Own-child, White, Female,0,0,38, United-States, <=50K
35, Private,98389,7, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
30, Local-gov,154935,12, Never-married, Protective-serv, Not-in-family, Black, Male,0,0,40, United-States, <=50K
24, Private,150683,13, Never-married, Tech-support, Own-child, White, Male,0,0,42, United-States, <=50K
33, Local-gov,251521,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
19, Private,280146,10, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
44, Private,182370,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
51, Local-gov,117496,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
35, Private,188888,13, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, >50K
28, Private,55360,9, Never-married, Sales, Other-relative, Black, Male,0,0,40, United-States, <=50K
21, Private,189203,11, Never-married, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
50, Private,257933,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
63, Private,28334,14, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, >50K
55, Private,194290,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
63, Self-emp-inc,272425,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
19, Private,196857,9, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
56, Private,146391,9, Never-married, Sales, Not-in-family, White, Male,0,0,40, Ireland, <=50K
43, Private,230684,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
78, Self-emp-inc,385242,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,9386,0,45, United-States, >50K
58, Private,72812,6, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private,230420,9, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,45, United-States, <=50K
33, Private,554206,10, Never-married, Tech-support, Not-in-family, Black, Male,0,0,40, Philippines, <=50K
21, Private,163595,10, Never-married, Other-service, Own-child, White, Male,0,0,35, United-States, <=50K
34, Private,130021,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,48, United-States, <=50K
42, Private,397346,9, Never-married, Craft-repair, Not-in-family, White, Male,3325,0,40, United-States, <=50K
21, Private,139722,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Puerto-Rico, <=50K
25, Private,205947,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
32, Private,272376,12, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Private,229051,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
27, Private,704108,14, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
46,,443179,13, Divorced,, Not-in-family, White, Female,0,0,8, United-States, <=50K
47, Private,199058,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
46, Private,155890,13, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
51, Private,305147,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private,70282,12, Never-married, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K
24, Private,214810,11, Never-married, Sales, Not-in-family, White, Female,0,0,35, United-States, <=50K
33, Private,118500,10, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
40, Private,119008,9, Separated, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
31, Private,210008,9, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
45, Private,116255,9, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40, United-States, <=50K
38, Private,193026,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
22, Private,384787,5, Never-married, Sales, Other-relative, White, Female,0,0,40, Mexico, <=50K
64,,178556,6, Married-civ-spouse,, Husband, White, Male,0,0,56, United-States, >50K
75,,111177,13, Widowed,, Not-in-family, White, Female,25124,0,16, United-States, >50K
67,,125926,10, Married-civ-spouse,, Husband, White, Male,0,0,8, United-States, <=50K
45, Private,105381,10, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
38, Private,30509,11, Married-civ-spouse, Prof-specialty, Wife, White, Female,3908,0,50, United-States, <=50K
37, Private,178948,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
53, Private,208570,9, Married-civ-spouse, Sales, Wife, White, Female,0,0,26, United-States, <=50K
36, Private,361888,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
18, Private,56613,10, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,20, United-States, <=50K
32, Private,131224,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
42, Private,172148,10, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40, United-States, <=50K
40, Private,104892,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
54, Self-emp-inc,159219,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,40, United-States, >50K
35, Local-gov,195516,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Private,48972,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
29, Local-gov,167544,12, Divorced, Other-service, Unmarried, White, Female,0,0,13, United-States, <=50K
50, Local-gov,50459,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,42, United-States, >50K
24, Private,143246,10, Never-married, Machine-op-inspct, Own-child, Black, Female,2597,0,45, United-States, <=50K
49, Self-emp-inc,315998,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
45, Self-emp-not-inc,28497,13, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,1485,70, United-States, >50K
30, State-gov,185590,13, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
35, Private,141896,8, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
43, Self-emp-inc,104892,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States, <=50K
54, Private,249352,13, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
33, Federal-gov,319560,11, Divorced, Craft-repair, Unmarried, Black, Female,0,0,40, United-States, >50K
26, Private,139116,10, Never-married, Other-service, Own-child, Black, Female,0,0,50, United-States, <=50K
42, Private,196344,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Guatemala, <=50K
53, Self-emp-not-inc,99516,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
50, Private,139703,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
64, Private,285052,10, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,10, United-States, <=50K
60, State-gov,194252,14, Married-civ-spouse, Exec-managerial, Wife, White, Female,3103,0,40, United-States, >50K
48, State-gov,118330,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,5178,0,40, United-States, >50K
22, Private,190968,10, Married-civ-spouse, Craft-repair, Husband, White, Male,2407,0,40, United-States, <=50K
40, Private,175935,13, Divorced, Sales, Not-in-family, White, Male,14084,0,40, United-States, >50K
34, Private,205152,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
67, Local-gov,31924,10, Widowed, Other-service, Not-in-family, White, Female,2964,0,41, United-States, <=50K
49, Private,191277,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
32, Private,183470,11, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,42, United-States, <=50K
70,,162659,4, Married-civ-spouse,, Husband, White, Male,0,0,8, United-States, <=50K
28, Federal-gov,19522,10, Never-married, Tech-support, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
21, Private,57916,9, Separated, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
17, Private,156732,7, Never-married, Other-service, Other-relative, White, Female,0,0,20, United-States, <=50K
30, Private,211840,10, Separated, Sales, Unmarried, Black, Female,0,0,16, United-States, <=50K
28, Private,196690,11, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,1669,42, United-States, <=50K
36, Private,176101,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
45, Private,102147,11, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, >50K
41, Private,124639,10, Separated, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
69, Self-emp-inc,174379,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,30, United-States, <=50K
37, Private,340599,7, Separated, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
26, Private,340335,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
38, Private,100079,16, Married-spouse-absent, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,27828,0,60, China, >50K
18, Private,156981,7, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
20, Private,312017,10, Never-married, Protective-serv, Own-child, White, Male,0,0,40, Germany, <=50K
70, Self-emp-inc,223275,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
37, Local-gov,233825,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,15024,0,50, United-States, >50K
66, Self-emp-inc,50408,8, Married-civ-spouse, Sales, Husband, White, Male,0,0,20, United-States, <=50K
28, Private,278552,11, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, >50K
41, Private,121055,9, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
50, Self-emp-not-inc,114117,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,32, United-States, <=50K
43, Private,313022,9, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,4386,0,40, United-States, >50K
42, Private,253770,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
23, Private,166527,10, Never-married, Exec-managerial, Own-child, Other, Female,0,0,40, United-States, <=50K
57, Local-gov,261584,10, Separated, Other-service, Not-in-family, Black, Female,0,0,40, United-States, <=50K
37, Private,191137,12, Divorced, Prof-specialty, Unmarried, White, Male,0,0,25, United-States, <=50K
34, Private,287737,13, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
60, Private,120067,5, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States, <=50K
21, Private,209483,10, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
72, Self-emp-not-inc,203523,15, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,10, United-States, <=50K
28, Private,212640,15, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,85, United-States, <=50K
45, Private,34419,13, Never-married, Transport-moving, Not-in-family, White, Male,0,0,30, United-States, <=50K
41, Private,63596,10, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,32, United-States, >50K
30, Private,208668,12, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,25, United-States, <=50K
26, Private,125089,10, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private,179186,13, Married-civ-spouse, Sales, Husband, Black, Male,0,0,90, United-States, >50K
49, Self-emp-inc,218835,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
40, Self-emp-not-inc,209040,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
50,,257117,5, Married-civ-spouse,, Husband, White, Male,0,0,50, United-States, <=50K
25, Private,193379,9, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private,312667,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,50, United-States, >50K
20, Private,164574,9, Never-married, Other-service, Own-child, White, Male,0,0,30, United-States, <=50K
26, Private,120268,13, Never-married, Adm-clerical, Own-child, White, Male,0,0,24, United-States, <=50K
51, Private,158508,10, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,36, United-States, <=50K
34, Private,190027,9, Separated, Tech-support, Unmarried, Black, Female,0,0,35, United-States, <=50K
43, Private,397963,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,594,0,16, United-States, <=50K
